EN,EM,Description,Composition strategy,Attribute
crucial element,💎💎,"[':emoji_1f48e:', ':emoji_1f48e:']",Reduplication,DISPENSABILITY
light shade,🌫️🌫️,"[':emoji_1f32b_fe0f:', ':emoji_1f32b_fe0f:']",Reduplication,COLOR
roaring engine,🚂🚂🚂,"[':emoji_1f682:', ':emoji_1f682:', ':emoji_1f682:']",Reduplication,VOLUME
center point,🎯🎯🎯,"[':emoji_1f3af:', ':emoji_1f3af:', ':emoji_1f3af:']",Reduplication,POSITION
massive load,📦📦📦📦,"[':emoji_1f4e6:', ':emoji_1f4e6:', ':emoji_1f4e6:', ':emoji_1f4e6:']",Reduplication,WEIGHT
profound thought,🤔🤔🤔,"[':emoji_1f914:', ':emoji_1f914:', ':emoji_1f914:']",Reduplication,DEPTH
mini doll,🪆🪆,"[':emoji_1fa86:', ':emoji_1fa86:']",Reduplication,SIZE
cold night,🌜🌜,"[':emoji_1f31c:', ':emoji_1f31c:']",Reduplication,TEMPERATURE
ongoing process,🔁🔁🔁,"[':emoji_1f501:', ':emoji_1f501:', ':emoji_1f501:']",Reduplication,CONTINUITY
heavy rock,🪨🪨🪨,"[':emoji_1faa8:', ':emoji_1faa8:', ':emoji_1faa8:']",Reduplication,WEIGHT
roaring engine,🚂🚂🚂,"[':emoji_1f682:', ':emoji_1f682:', ':emoji_1f682:']",Reduplication,VOLUME
weighted bar,🏋️🏋️🏋️,"[':emoji_1f3cb_fe0f:', ':emoji_1f3cb_fe0f:', ':emoji_1f3cb_fe0f:']",Reduplication,WEIGHT
full closet,👚👖👔,"[':emoji_1f45a:', ':emoji_1f456:', ':emoji_1f454:']",Reduplication,FULLNESS
optional extra,➕➕,"[':emoji_2795:', ':emoji_2795:']",Reduplication,DISPENSABILITY
profound thought,🤔🤔🤔,"[':emoji_1f914:', ':emoji_1f914:', ':emoji_1f914:']",Reduplication,DEPTH
mini doll,🪆🪆,"[':emoji_1fa86:', ':emoji_1fa86:']",Reduplication,SIZE
energetic dance,💃💃💃,"[':emoji_1f483:', ':emoji_1f483:', ':emoji_1f483:']",Reduplication,LIVELINESS
left side,👈👈,"[':emoji_1f448:', ':emoji_1f448:']",Reduplication,POSITION
hot day,🌞🌞,"[':emoji_1f31e:', ':emoji_1f31e:']",Reduplication,TEMPERATURE
weighted bar,🏋️🏋️🏋️,"[':emoji_1f3cb_fe0f:', ':emoji_1f3cb_fe0f:', ':emoji_1f3cb_fe0f:']",Reduplication,WEIGHT
energetic dance,💃💃💃,"[':emoji_1f483:', ':emoji_1f483:', ':emoji_1f483:']",Reduplication,LIVELINESS
short fence,💈💈,"[':emoji_1f488:', ':emoji_1f488:']",Reduplication,HEIGHT
inner corner,↩️↩️,"[':emoji_21a9_fe0f:', ':emoji_21a9_fe0f:']",Reduplication,POSITION
overflowing basket,🧺🧺🧺🧺,"[':emoji_1f9fa:', ':emoji_1f9fa:', ':emoji_1f9fa:', ':emoji_1f9fa:']",Reduplication,FULLNESS
soft cry,😢😢,"[':emoji_1f622:', ':emoji_1f622:']",Reduplication,VOLUME
rapid intervention,🚑🚑🚑,"[':emoji_1f691:', ':emoji_1f691:', ':emoji_1f691:']",Reduplication,IMMEDIACY
joyful reunion,😂😂😂,"[':emoji_1f602:', ':emoji_1f602:', ':emoji_1f602:']",Reduplication,EMOTIONALITY
blue wave,🌊🌊🌊,"[':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:']",Reduplication,COLOR
roaring engine,🚂🚂🚂,"[':emoji_1f682:', ':emoji_1f682:', ':emoji_1f682:']",Reduplication,VOLUME
regular habit,🔁🔁🔁,"[':emoji_1f501:', ':emoji_1f501:', ':emoji_1f501:']",Reduplication,COMMONNESS
thick book,📚📚📚,"[':emoji_1f4da:', ':emoji_1f4da:', ':emoji_1f4da:']",Reduplication,THICKNESS
packed stadium,🏟️🏟️🏟️,"[':emoji_1f3df_fe0f:', ':emoji_1f3df_fe0f:', ':emoji_1f3df_fe0f:']",Reduplication,FULLNESS
constant motion,🏃🏃🏃🏃,"[':emoji_1f3c3:', ':emoji_1f3c3:', ':emoji_1f3c3:', ':emoji_1f3c3:']",Reduplication,CONTINUITY
inner voice,🗣️🗣️,"[':emoji_1f5e3_fe0f:', ':emoji_1f5e3_fe0f:']",Reduplication,INWARDNESS
sinister plan,😈😈,"[':emoji_1f608:', ':emoji_1f608:']",Reduplication,EVIL
overflowing basket,🧺🧺🧺🧺,"[':emoji_1f9fa:', ':emoji_1f9fa:', ':emoji_1f9fa:', ':emoji_1f9fa:']",Reduplication,FULLNESS
deep ocean,🌊🌊🌊🌊,"[':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:']",Reduplication,DEPTH
inner corner,↩️↩️,"[':emoji_21a9_fe0f:', ':emoji_21a9_fe0f:']",Reduplication,POSITION
mundane task,📋📋📋,"[':emoji_1f4cb:', ':emoji_1f4cb:', ':emoji_1f4cb:']",Reduplication,COMMONNESS
explicit detail,🔎🔎🔎,"[':emoji_1f50e:', ':emoji_1f50e:', ':emoji_1f50e:']",Reduplication,CLARITY
wicked grin,😏😏😏,"[':emoji_1f60f:', ':emoji_1f60f:', ':emoji_1f60f:']",Reduplication,EVIL
optional extra,➕➕,"[':emoji_2795:', ':emoji_2795:']",Reduplication,DISPENSABILITY
clear statement,✔️✔️✔️,"[':emoji_2714_fe0f:', ':emoji_2714_fe0f:', ':emoji_2714_fe0f:']",Reduplication,CLARITY
thin sheet,📄📄,"[':emoji_1f4c4:', ':emoji_1f4c4:']",Reduplication,THICKNESS
front row,⬆️⬆️,"[':emoji_2b06_fe0f:', ':emoji_2b06_fe0f:']",Reduplication,POSITION
continuous flow,🌊🌊🌊,"[':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:']",Reduplication,CONTINUITY
grave danger,⚠️⚠️⚠️,"[':emoji_26a0_fe0f:', ':emoji_26a0_fe0f:', ':emoji_26a0_fe0f:']",Reduplication,CRISIS
extreme condition,🌡️🌡️🌡️,"[':emoji_1f321_fe0f:', ':emoji_1f321_fe0f:', ':emoji_1f321_fe0f:']",Reduplication,DEGREE
blue wave,🌊🌊🌊,"[':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:']",Reduplication,COLOR
roaring engine,🚂🚂🚂,"[':emoji_1f682:', ':emoji_1f682:', ':emoji_1f682:']",Reduplication,VOLUME
red alert,🚨🚨,"[':emoji_1f6a8:', ':emoji_1f6a8:']",Reduplication,COLOR
inner corner,↩️↩️,"[':emoji_21a9_fe0f:', ':emoji_21a9_fe0f:']",Reduplication,POSITION
heavy rock,🪨🪨🪨,"[':emoji_1faa8:', ':emoji_1faa8:', ':emoji_1faa8:']",Reduplication,WEIGHT
low ranking,🔽🔽,"[':emoji_1f53d:', ':emoji_1f53d:']",Reduplication,DEGREE
malevolent force,👿👿👿,"[':emoji_1f47f:', ':emoji_1f47f:', ':emoji_1f47f:']",Reduplication,EVIL
obvious sign,➡️➡️,"[':emoji_27a1_fe0f:', ':emoji_27a1_fe0f:']",Reduplication,CLARITY
overflowing basket,🧺🧺🧺🧺,"[':emoji_1f9fa:', ':emoji_1f9fa:', ':emoji_1f9fa:', ':emoji_1f9fa:']",Reduplication,FULLNESS
constant beat,🎶🎶🎶,"[':emoji_1f3b6:', ':emoji_1f3b6:', ':emoji_1f3b6:']",Reduplication,CONSISTENCY
high rating,⭐⭐⭐⭐,"[':emoji_2b50:', ':emoji_2b50:', ':emoji_2b50:', ':emoji_2b50:']",Reduplication,DEGREE
mini doll,🪆🪆,"[':emoji_1fa86:', ':emoji_1fa86:']",Reduplication,SIZE
replaceable part,⚙️⚙️⚙️,"[':emoji_2699_fe0f:', ':emoji_2699_fe0f:', ':emoji_2699_fe0f:']",Reduplication,DISPENSABILITY
hot day,🌞🌞,"[':emoji_1f31e:', ':emoji_1f31e:']",Reduplication,TEMPERATURE
viscous oil,🛢️🛢️🛢️,"[':emoji_1f6e2_fe0f:', ':emoji_1f6e2_fe0f:', ':emoji_1f6e2_fe0f:']",Reduplication,THICKNESS
inner voice,🗣️🗣️,"[':emoji_1f5e3_fe0f:', ':emoji_1f5e3_fe0f:']",Reduplication,INWARDNESS
urgent conflict,⏰⏰,"[':emoji_23f0:', ':emoji_23f0:']",Reduplication,CRISIS
serious meltdown,💥💥💥,"[':emoji_1f4a5:', ':emoji_1f4a5:', ':emoji_1f4a5:']",Reduplication,CRISIS
warm hug,🤗🤗,"[':emoji_1f917:', ':emoji_1f917:']",Reduplication,EMOTIONALITY
whispering wind,🌬️🌬️,"[':emoji_1f32c_fe0f:', ':emoji_1f32c_fe0f:']",Reduplication,VOLUME
lively concert,🎵🎵🎵,"[':emoji_1f3b5:', ':emoji_1f3b5:', ':emoji_1f3b5:']",Reduplication,LIVELINESS
grave danger,⚠️⚠️⚠️,"[':emoji_26a0_fe0f:', ':emoji_26a0_fe0f:', ':emoji_26a0_fe0f:']",Reduplication,CRISIS
replaceable part,⚙️⚙️⚙️,"[':emoji_2699_fe0f:', ':emoji_2699_fe0f:', ':emoji_2699_fe0f:']",Reduplication,DISPENSABILITY
near border,🚧🚧,"[':emoji_1f6a7:', ':emoji_1f6a7:']",Reduplication,DISTANCE
clear statement,✔️✔️✔️,"[':emoji_2714_fe0f:', ':emoji_2714_fe0f:', ':emoji_2714_fe0f:']",Reduplication,CLARITY
instant reaction,⚡⚡⚡,"[':emoji_26a1:', ':emoji_26a1:', ':emoji_26a1:']",Reduplication,IMMEDIACY
shiny star,⭐⭐⭐,"[':emoji_2b50:', ':emoji_2b50:', ':emoji_2b50:']",Reduplication,LUMINOSITY
light shade,🌫️🌫️,"[':emoji_1f32b_fe0f:', ':emoji_1f32b_fe0f:']",Reduplication,COLOR
vital resource,💉💉💉,"[':emoji_1f489:', ':emoji_1f489:', ':emoji_1f489:']",Reduplication,DISPENSABILITY
internal struggle,🤯🤯🤯,"[':emoji_1f92f:', ':emoji_1f92f:', ':emoji_1f92f:']",Reduplication,INWARDNESS
private thought,🤔🤔,"[':emoji_1f914:', ':emoji_1f914:']",Reduplication,INWARDNESS
inner voice,🗣️🗣️,"[':emoji_1f5e3_fe0f:', ':emoji_1f5e3_fe0f:']",Reduplication,INWARDNESS
mundane task,📋📋📋,"[':emoji_1f4cb:', ':emoji_1f4cb:', ':emoji_1f4cb:']",Reduplication,COMMONNESS
thin sheet,📄📄,"[':emoji_1f4c4:', ':emoji_1f4c4:']",Reduplication,THICKNESS
roaring engine,🚂🚂🚂,"[':emoji_1f682:', ':emoji_1f682:', ':emoji_1f682:']",Reduplication,VOLUME
glowing screen,💻💻,"[':emoji_1f4bb:', ':emoji_1f4bb:']",Reduplication,LUMINOSITY
inner corner,↩️↩️,"[':emoji_21a9_fe0f:', ':emoji_21a9_fe0f:']",Reduplication,POSITION
energetic dance,💃💃💃,"[':emoji_1f483:', ':emoji_1f483:', ':emoji_1f483:']",Reduplication,LIVELINESS
warm hug,🤗🤗,"[':emoji_1f917:', ':emoji_1f917:']",Reduplication,EMOTIONALITY
short fence,💈💈,"[':emoji_1f488:', ':emoji_1f488:']",Reduplication,HEIGHT
heavy rock,🪨🪨🪨,"[':emoji_1faa8:', ':emoji_1faa8:', ':emoji_1faa8:']",Reduplication,WEIGHT
ongoing process,🔁🔁🔁,"[':emoji_1f501:', ':emoji_1f501:', ':emoji_1f501:']",Reduplication,CONTINUITY
low ranking,🔽🔽,"[':emoji_1f53d:', ':emoji_1f53d:']",Reduplication,DEGREE
private thought,🤔🤔,"[':emoji_1f914:', ':emoji_1f914:']",Reduplication,INWARDNESS
vague impression,❓❓,"[':emoji_2753:', ':emoji_2753:']",Reduplication,CLARITY
viscous oil,🛢️🛢️🛢️,"[':emoji_1f6e2_fe0f:', ':emoji_1f6e2_fe0f:', ':emoji_1f6e2_fe0f:']",Reduplication,THICKNESS
dense forest,🌲🌲🌲🌲,"[':emoji_1f332:', ':emoji_1f332:', ':emoji_1f332:', ':emoji_1f332:']",Reduplication,THICKNESS
kind supporter,🤝🤝,"[':emoji_1f91d:', ':emoji_1f91d:']",Reduplication,GENEROSITY
high rating,⭐⭐⭐⭐,"[':emoji_2b50:', ':emoji_2b50:', ':emoji_2b50:', ':emoji_2b50:']",Reduplication,DEGREE
even tone,📏📏,"[':emoji_1f4cf:', ':emoji_1f4cf:']",Reduplication,CONSISTENCY
prompt action,🏃‍♂️🏃‍♂️,"[':emoji_1f3c3_200d_2642_fe0f:', ':emoji_1f3c3_200d_2642_fe0f:']",Reduplication,IMMEDIACY
deep ocean,🌊🌊🌊🌊,"[':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:']",Reduplication,DEPTH
crammed schedule,📆📆📆,"[':emoji_1f4c6:', ':emoji_1f4c6:', ':emoji_1f4c6:']",Reduplication,FULLNESS
tiny star,✨✨,"[':emoji_2728:', ':emoji_2728:']",Reduplication,SIZE
viscous oil,🛢️🛢️🛢️,"[':emoji_1f6e2_fe0f:', ':emoji_1f6e2_fe0f:', ':emoji_1f6e2_fe0f:']",Reduplication,THICKNESS
wicked grin,😏😏😏,"[':emoji_1f60f:', ':emoji_1f60f:', ':emoji_1f60f:']",Reduplication,EVIL
spirited crowd,🙌🙌🙌,"[':emoji_1f64c:', ':emoji_1f64c:', ':emoji_1f64c:']",Reduplication,LIVELINESS
deep ocean,🌊🌊🌊🌊,"[':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:']",Reduplication,DEPTH
serious meltdown,💥💥💥,"[':emoji_1f4a5:', ':emoji_1f4a5:', ':emoji_1f4a5:']",Reduplication,CRISIS
massive load,📦📦📦📦,"[':emoji_1f4e6:', ':emoji_1f4e6:', ':emoji_1f4e6:', ':emoji_1f4e6:']",Reduplication,WEIGHT
far horizon,🏔️🏔️,"[':emoji_1f3d4_fe0f:', ':emoji_1f3d4_fe0f:']",Reduplication,DISTANCE
big donor,💰💰💰,"[':emoji_1f4b0:', ':emoji_1f4b0:', ':emoji_1f4b0:']",Reduplication,GENEROSITY
heavy rock,🪨🪨🪨,"[':emoji_1faa8:', ':emoji_1faa8:', ':emoji_1faa8:']",Reduplication,WEIGHT
shallow idea,💭💭,"[':emoji_1f4ad:', ':emoji_1f4ad:']",Reduplication,DEPTH
normal routine,🛌🛌,"[':emoji_1f6cc:', ':emoji_1f6cc:']",Reduplication,COMMONNESS
blue wave,🌊🌊🌊,"[':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:']",Reduplication,COLOR
hot day,🌞🌞,"[':emoji_1f31e:', ':emoji_1f31e:']",Reduplication,TEMPERATURE
joyful reunion,😂😂😂,"[':emoji_1f602:', ':emoji_1f602:', ':emoji_1f602:']",Reduplication,EMOTIONALITY
blue wave,🌊🌊🌊,"[':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:']",Reduplication,COLOR
low ranking,🔽🔽,"[':emoji_1f53d:', ':emoji_1f53d:']",Reduplication,DEGREE
optional extra,➕➕,"[':emoji_2795:', ':emoji_2795:']",Reduplication,DISPENSABILITY
short fence,💈💈,"[':emoji_1f488:', ':emoji_1f488:']",Reduplication,HEIGHT
obvious sign,➡️➡️,"[':emoji_27a1_fe0f:', ':emoji_27a1_fe0f:']",Reduplication,CLARITY
deep reflection,🪞🪞🪞,"[':emoji_1fa9e:', ':emoji_1fa9e:', ':emoji_1fa9e:']",Reduplication,INWARDNESS
heavy rock,🪨🪨🪨,"[':emoji_1faa8:', ':emoji_1faa8:', ':emoji_1faa8:']",Reduplication,WEIGHT
crucial element,💎💎,"[':emoji_1f48e:', ':emoji_1f48e:']",Reduplication,DISPENSABILITY
prompt action,🏃‍♂️🏃‍♂️,"[':emoji_1f3c3_200d_2642_fe0f:', ':emoji_1f3c3_200d_2642_fe0f:']",Reduplication,IMMEDIACY
far horizon,🏔️🏔️,"[':emoji_1f3d4_fe0f:', ':emoji_1f3d4_fe0f:']",Reduplication,DISTANCE
energetic dance,💃💃💃,"[':emoji_1f483:', ':emoji_1f483:', ':emoji_1f483:']",Reduplication,LIVELINESS
intense focus,😬😬😬,"[':emoji_1f62c:', ':emoji_1f62c:', ':emoji_1f62c:']",Reduplication,DEPTH
light shade,🌫️🌫️,"[':emoji_1f32b_fe0f:', ':emoji_1f32b_fe0f:']",Reduplication,COLOR
warm hug,🤗🤗,"[':emoji_1f917:', ':emoji_1f917:']",Reduplication,EMOTIONALITY
whispering wind,🌬️🌬️,"[':emoji_1f32c_fe0f:', ':emoji_1f32c_fe0f:']",Reduplication,VOLUME
rapid intervention,🚑🚑🚑,"[':emoji_1f691:', ':emoji_1f691:', ':emoji_1f691:']",Reduplication,IMMEDIACY
twisted idea,🌀🌀,"[':emoji_1f300:', ':emoji_1f300:']",Reduplication,EVIL
prompt action,🏃‍♂️🏃‍♂️,"[':emoji_1f3c3_200d_2642_fe0f:', ':emoji_1f3c3_200d_2642_fe0f:']",Reduplication,IMMEDIACY
left side,👈👈,"[':emoji_1f448:', ':emoji_1f448:']",Reduplication,POSITION
dark cloud,☁️☁️☁️,"[':emoji_2601_fe0f:', ':emoji_2601_fe0f:', ':emoji_2601_fe0f:']",Reduplication,COLOR
overflowing basket,🧺🧺🧺🧺,"[':emoji_1f9fa:', ':emoji_1f9fa:', ':emoji_1f9fa:', ':emoji_1f9fa:']",Reduplication,FULLNESS
moderate option,➗➗,"[':emoji_2797:', ':emoji_2797:']",Reduplication,DEGREE
vague impression,❓❓,"[':emoji_2753:', ':emoji_2753:']",Reduplication,CLARITY
profound thought,🤔🤔🤔,"[':emoji_1f914:', ':emoji_1f914:', ':emoji_1f914:']",Reduplication,DEPTH
ongoing process,🔁🔁🔁,"[':emoji_1f501:', ':emoji_1f501:', ':emoji_1f501:']",Reduplication,CONTINUITY
constant beat,🎶🎶🎶,"[':emoji_1f3b6:', ':emoji_1f3b6:', ':emoji_1f3b6:']",Reduplication,CONSISTENCY
dark cloud,☁️☁️☁️,"[':emoji_2601_fe0f:', ':emoji_2601_fe0f:', ':emoji_2601_fe0f:']",Reduplication,COLOR
deep reflection,🪞🪞🪞,"[':emoji_1fa9e:', ':emoji_1fa9e:', ':emoji_1fa9e:']",Reduplication,INWARDNESS
extreme condition,🌡️🌡️🌡️,"[':emoji_1f321_fe0f:', ':emoji_1f321_fe0f:', ':emoji_1f321_fe0f:']",Reduplication,DEGREE
deep reflection,🪞🪞🪞,"[':emoji_1fa9e:', ':emoji_1fa9e:', ':emoji_1fa9e:']",Reduplication,INWARDNESS
high tower,🏯🏯🏯,"[':emoji_1f3ef:', ':emoji_1f3ef:', ':emoji_1f3ef:']",Reduplication,HEIGHT
cold night,🌜🌜,"[':emoji_1f31c:', ':emoji_1f31c:']",Reduplication,TEMPERATURE
ongoing process,🔁🔁🔁,"[':emoji_1f501:', ':emoji_1f501:', ':emoji_1f501:']",Reduplication,CONTINUITY
thick book,📚📚📚,"[':emoji_1f4da:', ':emoji_1f4da:', ':emoji_1f4da:']",Reduplication,THICKNESS
large ocean,🌊🌊🌊🌊,"[':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:']",Reduplication,SIZE
malevolent force,👿👿👿,"[':emoji_1f47f:', ':emoji_1f47f:', ':emoji_1f47f:']",Reduplication,EVIL
spirited crowd,🙌🙌🙌,"[':emoji_1f64c:', ':emoji_1f64c:', ':emoji_1f64c:']",Reduplication,LIVELINESS
cold night,🌜🌜,"[':emoji_1f31c:', ':emoji_1f31c:']",Reduplication,TEMPERATURE
loud horn,📢📢📢,"[':emoji_1f4e2:', ':emoji_1f4e2:', ':emoji_1f4e2:']",Reduplication,VOLUME
inner corner,↩️↩️,"[':emoji_21a9_fe0f:', ':emoji_21a9_fe0f:']",Reduplication,POSITION
low valley,🏞️🏞️,"[':emoji_1f3de_fe0f:', ':emoji_1f3de_fe0f:']",Reduplication,HEIGHT
distant memory,💭💭,"[':emoji_1f4ad:', ':emoji_1f4ad:']",Reduplication,DISTANCE
dark cloud,☁️☁️☁️,"[':emoji_2601_fe0f:', ':emoji_2601_fe0f:', ':emoji_2601_fe0f:']",Reduplication,COLOR
immediate response,🔜🔜🔜,"[':emoji_1f51c:', ':emoji_1f51c:', ':emoji_1f51c:']",Reduplication,IMMEDIACY
constant beat,🎶🎶🎶,"[':emoji_1f3b6:', ':emoji_1f3b6:', ':emoji_1f3b6:']",Reduplication,CONSISTENCY
soft cry,😢😢,"[':emoji_1f622:', ':emoji_1f622:']",Reduplication,VOLUME
instant reaction,⚡⚡⚡,"[':emoji_26a1:', ':emoji_26a1:', ':emoji_26a1:']",Reduplication,IMMEDIACY
deep reflection,🪞🪞🪞,"[':emoji_1fa9e:', ':emoji_1fa9e:', ':emoji_1fa9e:']",Reduplication,INWARDNESS
prompt action,🏃‍♂️🏃‍♂️,"[':emoji_1f3c3_200d_2642_fe0f:', ':emoji_1f3c3_200d_2642_fe0f:']",Reduplication,IMMEDIACY
dense forest,🌲🌲🌲🌲,"[':emoji_1f332:', ':emoji_1f332:', ':emoji_1f332:', ':emoji_1f332:']",Reduplication,THICKNESS
blinding light,🔆🔆🔆🔆,"[':emoji_1f506:', ':emoji_1f506:', ':emoji_1f506:', ':emoji_1f506:']",Reduplication,LUMINOSITY
moderate option,➗➗,"[':emoji_2797:', ':emoji_2797:']",Reduplication,DEGREE
whispering wind,🌬️🌬️,"[':emoji_1f32c_fe0f:', ':emoji_1f32c_fe0f:']",Reduplication,VOLUME
moderate option,➗➗,"[':emoji_2797:', ':emoji_2797:']",Reduplication,DEGREE
vague impression,❓❓,"[':emoji_2753:', ':emoji_2753:']",Reduplication,CLARITY
shiny star,⭐⭐⭐,"[':emoji_2b50:', ':emoji_2b50:', ':emoji_2b50:']",Reduplication,LUMINOSITY
grave danger,⚠️⚠️⚠️,"[':emoji_26a0_fe0f:', ':emoji_26a0_fe0f:', ':emoji_26a0_fe0f:']",Reduplication,CRISIS
ongoing process,🔁🔁🔁,"[':emoji_1f501:', ':emoji_1f501:', ':emoji_1f501:']",Reduplication,CONTINUITY
packed stadium,🏟️🏟️🏟️,"[':emoji_1f3df_fe0f:', ':emoji_1f3df_fe0f:', ':emoji_1f3df_fe0f:']",Reduplication,FULLNESS
endless loop,♾️♾️,"[':emoji_267e_fe0f:', ':emoji_267e_fe0f:']",Reduplication,CONTINUITY
full closet,👚👖👔,"[':emoji_1f45a:', ':emoji_1f456:', ':emoji_1f454:']",Reduplication,FULLNESS
regular pattern,📐📐📐,"[':emoji_1f4d0:', ':emoji_1f4d0:', ':emoji_1f4d0:']",Reduplication,CONSISTENCY
deep ocean,🌊🌊🌊🌊,"[':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:']",Reduplication,DEPTH
lavish sponsor,💸💸💸💸,"[':emoji_1f4b8:', ':emoji_1f4b8:', ':emoji_1f4b8:', ':emoji_1f4b8:']",Reduplication,GENEROSITY
immediate response,🔜🔜🔜,"[':emoji_1f51c:', ':emoji_1f51c:', ':emoji_1f51c:']",Reduplication,IMMEDIACY
small tipper,💵💵,"[':emoji_1f4b5:', ':emoji_1f4b5:']",Reduplication,GENEROSITY
big donor,💰💰💰,"[':emoji_1f4b0:', ':emoji_1f4b0:', ':emoji_1f4b0:']",Reduplication,GENEROSITY
even tone,📏📏,"[':emoji_1f4cf:', ':emoji_1f4cf:']",Reduplication,CONSISTENCY
low ranking,🔽🔽,"[':emoji_1f53d:', ':emoji_1f53d:']",Reduplication,DEGREE
moderate option,➗➗,"[':emoji_2797:', ':emoji_2797:']",Reduplication,DEGREE
light feather,🪶🪶,"[':emoji_1fab6:', ':emoji_1fab6:']",Reduplication,WEIGHT
vibrant party,🎉🎉🎉,"[':emoji_1f389:', ':emoji_1f389:', ':emoji_1f389:']",Reduplication,LIVELINESS
twisted idea,🌀🌀,"[':emoji_1f300:', ':emoji_1f300:']",Reduplication,EVIL
extreme condition,🌡️🌡️🌡️,"[':emoji_1f321_fe0f:', ':emoji_1f321_fe0f:', ':emoji_1f321_fe0f:']",Reduplication,DEGREE
center point,🎯🎯🎯,"[':emoji_1f3af:', ':emoji_1f3af:', ':emoji_1f3af:']",Reduplication,POSITION
blue wave,🌊🌊🌊,"[':emoji_1f30a:', ':emoji_1f30a:', ':emoji_1f30a:']",Reduplication,COLOR
grave danger,⚠️⚠️⚠️,"[':emoji_26a0_fe0f:', ':emoji_26a0_fe0f:', ':emoji_26a0_fe0f:']",Reduplication,CRISIS
kind supporter,🤝🤝,"[':emoji_1f91d:', ':emoji_1f91d:']",Reduplication,GENEROSITY
