EN,EM,Description,Composition strategy,Attribute
lukewarm fluid,🌤️,[':sun_behind_small_cloud:'],Single,TEMPERATURE
unobstructed vision,🪟,[':window:'],Single,CLEARNESS
controlled budget,🧍,[':person_standing:'],Single,MODERATION
filtered air,💧,[':droplet:'],Single,PURITY
momentous priority,🔑,[':key:'],Single,IMPORTANCE
heavenly landscape,🕊️,[':dove:'],Single,PLEASANTNESS
charming landscape,🕊️,[':dove:'],Single,PLEASANTNESS
reasonable analysis,🧠,[':brain:'],Single,REASONABLENESS
meticulous judgement,👌,[':OK_hand:'],Single,CORRECTNESS
sound perspective,🧐,[':face_with_monocle:'],Single,REASONABLENESS
neat design,✨,[':sparkles:'],Single,PERFECTION
short furniture,🙇‍♀️,[':woman_bowing:'],Single,HEIGHT
sound framework,🤝,[':handshake:'],Single,INTEGRITY
restful spot,😄,[':grinning_face_with_smiling_eyes:'],Single,COMFORT
ringing roar,🔈,[':speaker_low_volume:'],Single,VOLUME
left alignment,👈,[':backhand_index_pointing_left:'],Single,POSITION
pleasant landscape,🍀,[':four_leaf_clover:'],Single,PLEASANTNESS
dim beam,🌚,[':new_moon_face:'],Single,LIGHT
outlying barrier,🌐,[':globe_showing_Americas:'],Single,DISTANCE
overall thrashing,⚙️,[':gear:'],Single,COMPLETENESS
snug bed,🛋️,[':couch_and_lamp:'],Single,COMFORT
proper analysis,👍,[':thumbs_up:'],Single,CORRECTNESS
teenage gentleman,👧,[':girl:'],Single,AGE
urgent problem,🚑,[':ambulance:'],Single,CRISIS
copious income,💸,[':money_with_wings:'],Single,QUANTITY
limpid air,🌬,[':wind_face:'],Single,CLEARNESS
grave problem,🚨,[':police_car_light:'],Single,CRISIS
discernible definition,💡,[':light_bulb:'],Single,CLARITY
resounding sound,📢,[':loudspeaker:'],Single,VOLUME
dry season,🚿,[':shower:'],Single,WETNESS
robust barrier,💪,[':flexed_biceps:'],Single,STRENGTH
petite balloon,🏙,[':cityscape:'],Single,SIZE
brothy substance,🛢️,[':oil_drum:'],Single,CONSISTENCY
fluid paste,🍛,[':curry_rice:'],Single,CONSISTENCY
endless distance,💇‍♀️,[':woman_getting_haircut:'],Single,LENGTH
clear surface,🤌,[':pinched_fingers:'],Single,PERFECTION
pristine presentation,🙆‍♀️,[':woman_gesturing_OK:'],Single,PERFECTION
far side,⬆️,[':up_arrow:'],Single,POSITION
dense sack,🪨,[':rock:'],Single,WEIGHT
warm retreat,😄,[':grinning_face_with_smiling_eyes:'],Single,COMFORT
suitable diet,🏷️,[':label:'],Single,MODERATION
luminous beam,🌕,[':full_moon:'],Single,LIGHT
sentimental connection,🥰,[':smiling_face_with_hearts:'],Single,EMOTIONALITY
rightful conclusion,👌,[':OK_hand:'],Single,CORRECTNESS
full cupboard,🍶,[':sake:'],Single,FULLNESS
unclouded sky,🔎,[':magnifying_glass_tilted_left:'],Single,CLEARNESS
wise advice,🧠,[':brain:'],Single,REASONABLENESS
clean breath,🌬️,[':wind_face:'],Single,FRESHNESS
clear pane,🔍,[':magnifying_glass_tilted_right:'],Single,CLEARNESS
limited quantity,🧍,[':person_standing:'],Single,MODERATION
unstable scenario,🏥,[':hospital:'],Single,CRISIS
secure corner,🧸,[':teddy_bear:'],Single,COMFORT
steep platform,🪜,[':ladder:'],Single,HEIGHT
righteous action,✅,[':check_mark_button:'],Single,RIGHTNESS
commonplace appearance,📎,[':paperclip:'],Single,ORDINARINESS
sentimental support,🤗,[':hugging_face:'],Single,EMOTIONALITY
small presence,🕴️,[':person_in_suit_levitating:'],Single,STATURE
prudent plan,🧠,[':brain:'],Single,REASONABLENESS
evident vision,🗃️,[':card_box:'],Single,CLARITY
remote expanse,🏔️,[':snow_capped_mountain:'],Single,DISTANCE
absolute examination,✅,[':check_mark_button:'],Single,COMPLETENESS
warm retreat,🛏️,[':bed:'],Single,COMFORT
flashy spectacle,💃,[':woman_dancing:'],Single,CONSPICUOUSNESS
thorough coverage,📜,[':scroll:'],Single,COMPLETENESS
clean produce,🍏,[':green_apple:'],Single,FRESHNESS
caring embrace,🥰,[':smiling_face_with_hearts:'],Single,EMOTIONALITY
far spot,👈,[':backhand_index_pointing_left:'],Single,POSITION
deep-seated sense,🫀,[':anatomical_heart:'],Single,INWARDNESS
complete structure,🤝,[':handshake:'],Single,INTEGRITY
vast thought,🗣️,[':speaking_head:'],Single,DEPTH
raised deck,🪜,[':ladder:'],Single,HEIGHT
unobstructed vision,🪟,[':window:'],Single,CLEARNESS
secondary pressure,🌡️,[':thermometer:'],Single,DEGREE
senior student,👧,[':girl:'],Single,AGE
junior girl,👩‍🦳,[':woman_white_hair:'],Single,AGE
sound security,🪢,[':knot:'],Single,INTEGRITY
damp terrain,💦,[':sweat_droplets:'],Single,WETNESS
featherlight load,🏋️‍♂️,[':man_lifting_weights:'],Single,WEIGHT
glowing lamp,🌚,[':new_moon_face:'],Single,LIGHT
wet towel,🏜️,[':desert:'],Single,WETNESS
general practice,👨,[':man:'],Single,COMMONNESS
radiant appearance,💃,[':woman_dancing:'],Single,CONSPICUOUSNESS
loud thunder,🔔,[':bell:'],Single,VOLUME
exquisite template,✨,[':sparkles:'],Single,PERFECTION
hefty cargo,🪨,[':rock:'],Single,WEIGHT
clean air,🔎,[':magnifying_glass_tilted_left:'],Single,CLEARNESS
exigent situation,🆘,[':SOS_button:'],Single,CRISIS
honorable method,✔️,[':check_mark:'],Single,RIGHTNESS
kind outlook,🥰,[':smiling_face_with_hearts:'],Single,EMOTIONALITY
colorless painting,🖌️,[':paintbrush:'],Single,COLOR
average habit,📄,[':page_facing_up:'],Single,ORDINARINESS
elevated mountain,🙇‍♀️,[':woman_bowing:'],Single,HEIGHT
exigent problem,🆘,[':SOS_button:'],Single,CRISIS
overflowing arena,🍺,[':beer_mug:'],Single,FULLNESS
dry season,💦,[':sweat_droplets:'],Single,WETNESS
bright room,🌑,[':new_moon:'],Single,LIGHT
moderate lifestyle,⚖️,[':balance_scale:'],Single,MODERATION
whole structure,👨‍✈️,[':man_pilot:'],Single,INTEGRITY
clean feeling,🍃,[':leaf_fluttering_in_wind:'],Single,FRESHNESS
viscous substance,🌫,[':fog:'],Single,THICKNESS
true interpretation,✔️,[':check_mark:'],Single,CORRECTNESS
pure spirit,🧼,[':soap:'],Single,PURITY
balmy coat,🥵,[':hot_face:'],Single,TEMPERATURE
spotless heart,💧,[':droplet:'],Single,PURITY
reasonable perspective,🧐,[':face_with_monocle:'],Single,REASONABLENESS
fluid paste,🍜,[':steaming_bowl:'],Single,CONSISTENCY
gleaming beam,☀️,[':sun:'],Single,LIGHT
ideal finish,🌟,[':glowing_star:'],Single,PERFECTION
opaque fog,🌫️,[':fog:'],Single,THICKNESS
regular habit,🍶,[':sake:'],Single,ORDINARINESS
wet field,🏝️,[':desert_island:'],Single,WETNESS
refined essence,💎,[':gem_stone:'],Single,PURITY
rich tone,👿,[':angry_face_with_horns:'],Single,COLOR
immeasurable insight,🤕,[':face_with_head-bandage:'],Single,DEPTH
critical junction,⛑️,[':rescue_worker’s_helmet:'],Single,CRISIS
unremarkable approach,📎,[':paperclip:'],Single,ORDINARINESS
stuffed container,🍶,[':sake:'],Single,FULLNESS
senior boy,🧒,[':child:'],Single,AGE
fair budget,🔅,[':dim_button:'],Single,MODERATION
ample stock,🏦,[':bank:'],Single,QUANTITY
abundant income,💸,[':money_with_wings:'],Single,QUANTITY
small presence,🧍‍♂️,[':man_standing:'],Single,STATURE
homely spot,🧸,[':teddy_bear:'],Single,COMFORT
tough shell,🏰,[':castle:'],Single,STRENGTH
feeble shell,🏰,[':castle:'],Single,STRENGTH
teenage kid,👧,[':girl:'],Single,AGE
precise statement,✔️,[':check_mark:'],Single,CORRECTNESS
moist sponge,💦,[':sweat_droplets:'],Single,WETNESS
elevated margin,🪜,[':ladder:'],Single,DEGREE
sensible advice,🤔,[':thinking_face:'],Single,REASONABLENESS
small giant,🧍‍♂️,[':man_standing:'],Single,STATURE
cozy spot,🛏️,[':bed:'],Single,COMFORT
little boy,🧒,[':child:'],Single,AGE
short hero,🧔‍♂️,[':man_beard:'],Single,STATURE
blaring thunder,🔔,[':bell:'],Single,VOLUME
secondary rating,🌡️,[':thermometer:'],Single,DEGREE
paramount deadline,🗓️,[':spiral_calendar:'],Single,IMPORTANCE
glowing illumination,☀️,[':sun:'],Single,LIGHT
fresh air,🥬,[':leafy_green:'],Single,FRESHNESS
minty lettuce,🥬,[':leafy_green:'],Single,FRESHNESS
appropriate perspective,👌,[':OK_hand:'],Single,CORRECTNESS
intelligent analysis,📚,[':books:'],Single,REASONABLENESS
tropical fluid,🌤️,[':sun_behind_small_cloud:'],Single,TEMPERATURE
pristine spirit,🧼,[':soap:'],Single,PURITY
sound survey,😵‍💫,[':face_with_spiral_eyes:'],Single,COMPLETENESS
widespread habit,🖥,[':desktop_computer:'],Single,COMMONNESS
nearby journey,🏔️,[':snow_capped_mountain:'],Single,DISTANCE
radiant room,💡,[':light_bulb:'],Single,LIGHT
lucid explanation,📖,[':open_book:'],Single,CLARITY
oversized field,🏚️,[':derelict_house:'],Single,SIZE
profound voice,😮‍💨,[':face_exhaling:'],Single,DEPTH
spotless conscience,🌬️,[':wind_face:'],Single,PURITY
humid terrain,💧,[':droplet:'],Single,WETNESS
long hair,💇‍♀️,[':woman_getting_haircut:'],Single,LENGTH
homely blanket,🛋️,[':couch_and_lamp:'],Single,COMFORT
unambiguous explanation,📖,[':open_book:'],Single,CLARITY
loving mood,😍,[':smiling_face_with_heart-eyes:'],Single,EMOTIONALITY
abundant funding,🪙,[':coin:'],Single,QUANTITY
colossal balloon,🗼,[':tokyo_tower:'],Single,SIZE
full cupboard,🍷,[':wine_glass:'],Single,FULLNESS
untainted scent,🍃,[':leaf_fluttering_in_wind:'],Single,FRESHNESS
fresh air,🍏,[':green_apple:'],Single,FRESHNESS
deep-seated world,☸️,[':wheel_of_dharma:'],Single,INWARDNESS
pristine vacuum,🌬️,[':wind_face:'],Single,PURITY
marginal status,📈,[':chart_increasing:'],Single,DEGREE
high bow,🙇‍♀️,[':woman_bowing:'],Single,HEIGHT
ideal presentation,🌟,[':glowing_star:'],Single,PERFECTION
delicate support,🦋,[':butterfly:'],Single,STRENGTH
short stage,🏔️,[':snow-capped_mountain:'],Single,HEIGHT
sentimental support,😍,[':smiling_face_with_heart-eyes:'],Single,EMOTIONALITY
unfathomable trance,🧘‍♂️,[':man_in_lotus_position:'],Single,DEPTH
hidden core,🤔,[':thinking_face:'],Single,INWARDNESS
clear concept,📖,[':open_book:'],Single,CLARITY
robust fortress,🏰,[':castle:'],Single,STRENGTH
sufficient income,🪙,[':coin:'],Single,QUANTITY
whole foundation,🕵️‍♂️,[':man_detective:'],Single,INTEGRITY
echoing blast,🔊,[':speaker_high_volume:'],Single,VOLUME
lightweight sack,🤘,[':sign_of_the_horns:'],Single,WEIGHT
lengthy stick,🪡,[':sewing_needle:'],Single,LENGTH
middle-aged student,👨‍🦳,[':man_white_hair:'],Single,AGE
solid schema,🤝,[':handshake:'],Single,INTEGRITY
heated spa,🔥,[':fire:'],Single,TEMPERATURE
moral stance,✅,[':check_mark_button:'],Single,RIGHTNESS
life-threatening problem,🏥,[':hospital:'],Single,CRISIS
towering wrestler,🕴️,[':person_in_suit_levitating:'],Single,STATURE
plentiful budget,🪙,[':coin:'],Single,QUANTITY
marginal rating,🪜,[':ladder:'],Single,DEGREE
waterlogged field,💧,[':droplet:'],Single,WETNESS
balanced lifestyle,🔅,[':dim_button:'],Single,MODERATION
featherlight metal,🪨,[':rock:'],Single,WEIGHT
peak status,🌡️,[':thermometer:'],Single,DEGREE
inadequate supply,🪙,[':coin:'],Single,QUANTITY
unadulterated heart,⚪,[':white_circle:'],Single,PURITY
bordering angle,👉,[':backhand_index_pointing_right:'],Single,POSITION
mini distance,💇,[':person_getting_haircut:'],Single,LENGTH
elevated rating,🪜,[':ladder:'],Single,DEGREE
affectionate connection,😍,[':smiling_face_with_heart-eyes:'],Single,EMOTIONALITY
cozy fluid,🔥,[':fire:'],Single,TEMPERATURE
grand room,🏠,[':house:'],Single,SIZE
small statue,🚶‍♂️,[':man_walking:'],Single,STATURE
left angle,👈,[':backhand_index_pointing_left:'],Single,POSITION
cozy nook,🛋️,[':couch_and_lamp:'],Single,COMFORT
paramount point,‼️,[':double_exclamation_mark:'],Single,IMPORTANCE
lucid sight,🔍,[':magnifying_glass_tilted_right:'],Single,CLEARNESS
neat surface,🙆‍♀️,[':woman_gesturing_OK:'],Single,PERFECTION
ordinary appearance,📄,[':page_facing_up:'],Single,ORDINARINESS
comprehensive coverage,⚙️,[':gear:'],Single,COMPLETENESS
endless bridge,📏,[':straight_ruler:'],Single,LENGTH
extensive trance,🤕,[':face_with_head-bandage:'],Single,DEPTH
hulking figure,🧔‍♂️,[':man_beard:'],Single,STATURE
plain statement,📖,[':open_book:'],Single,CLARITY
limpid vision,🔭,[':telescope:'],Single,CLEARNESS
suitable measure,🧍,[':person_standing:'],Single,MODERATION
cohesive construct,🪢,[':knot:'],Single,INTEGRITY
minty breath,🌬️,[':wind_face:'],Single,FRESHNESS
loving support,😍,[':smiling_face_with_heart-eyes:'],Single,EMOTIONALITY
pressing deadline,‼️,[':double_exclamation_mark:'],Single,IMPORTANCE
loaded package,🏋️‍♂️,[':man_lifting_weights:'],Single,WEIGHT
tolerable proposal,⚖️,[':balance_scale:'],Single,MODERATION
right location,⬆️,[':up_arrow:'],Single,POSITION
grand balloon,🏠,[':house:'],Single,SIZE
rich curtain,🖌️,[':paintbrush:'],Single,COLOR
routine result,🍶,[':sake:'],Single,ORDINARINESS
creamy covering,🍦,[':soft_ice_cream:'],Single,THICKNESS
lengthy ridge,🌐,[':globe_showing_Americas:'],Single,DISTANCE
dire junction,🏥,[':hospital:'],Single,CRISIS
endless interval,🪡,[':sewing_needle:'],Single,LENGTH
dense layer,💨,[':dashing_away:'],Single,THICKNESS
crowded cupboard,🛒,[':shopping_cart:'],Single,FULLNESS
concentrated substance,🌫️,[':fog:'],Single,THICKNESS
dense cloud,🌫️,[':fog:'],Single,THICKNESS
radiant detail,🕺,[':man_dancing:'],Single,CONSPICUOUSNESS
comprehensive examination,📜,[':scroll:'],Single,COMPLETENESS
inviting chair,🛏️,[':bed:'],Single,COMFORT
gigantic field,🏯,[':japanese_castle:'],Single,SIZE
proper judgement,👌,[':OK_hand:'],Single,CORRECTNESS
fair approach,💯,[':hundred_points:'],Single,RIGHTNESS
waterlogged atmosphere,💦,[':sweat_droplets:'],Single,WETNESS
flawless scenario,✨,[':sparkles:'],Single,PERFECTION
spotless complexion,🤌,[':pinched_fingers:'],Single,PERFECTION
popular idea,🏞,[':national_park:'],Single,COMMONNESS
dense paint,🌫,[':fog:'],Single,THICKNESS
thin paste,🍜,[':steaming_bowl:'],Single,CONSISTENCY
fair measure,🧍,[':person_standing:'],Single,MODERATION
conventional procedure,🖥,[':desktop_computer:'],Single,COMMONNESS
urgent situation,🚑,[':ambulance:'],Single,CRISIS
frequent person,🏞,[':national_park:'],Single,COMMONNESS
spotless water,💧,[':droplet:'],Single,PURITY
abbreviated hair,📏,[':straight_ruler:'],Single,LENGTH
medium road,📏,[':straight_ruler:'],Single,LENGTH
ordinary merit,🔘,[':radio_button:'],Single,ORDINARINESS
loud shout,🔈,[':speaker_low_volume:'],Single,VOLUME
low bow,🙇‍♀️,[':woman_bowing:'],Single,HEIGHT
significant agenda,💼,[':briefcase:'],Single,IMPORTANCE
proper directive,🆗,[':OK_button:'],Single,CORRECTNESS
creamy substance,💨,[':dashing_away:'],Single,THICKNESS
discernible concept,💡,[':light_bulb:'],Single,CLARITY
huge field,🏯,[':japanese_castle:'],Single,SIZE
flashy marker,💃,[':woman_dancing:'],Single,CONSPICUOUSNESS
transparent vision,🔎,[':magnifying_glass_tilted_left:'],Single,CLEARNESS
dazzling beam,🌕,[':full_moon:'],Single,LIGHT
long distance,📏,[':straight_ruler:'],Single,LENGTH
entire treatment,📋,[':clipboard:'],Single,COMPLETENESS
sweltering day,🌤️,[':sun_behind_small_cloud:'],Single,TEMPERATURE
vast insight,🤕,[':face_with_head-bandage:'],Single,DEPTH
left alignment,👈,[':backhand_index_pointing_left:'],Single,POSITION
clean sight,🔎,[':magnifying_glass_tilted_left:'],Single,CLEARNESS
serious crossroad,🆘,[':SOS_button:'],Single,CRISIS
adjacent zone,↔️,[':left-right_arrow:'],Single,POSITION
stuffed bottle,🛒,[':shopping_cart:'],Single,FULLNESS
dazzling corridor,☀️,[':sun:'],Single,LIGHT
transparent sky,🪟,[':window:'],Single,CLEARNESS
delicate protection,🦾,[':mechanical_arm:'],Single,STRENGTH
feeble foundation,🏰,[':castle:'],Single,STRENGTH
creamy oil,🍜,[':steaming_bowl:'],Single,CONSISTENCY
sensible method,🧐,[':face_with_monocle:'],Single,REASONABLENESS
unspoiled breeze,🥬,[':leafy_green:'],Single,FRESHNESS
extreme point,📈,[':chart_increasing:'],Single,DEGREE
feeble foundation,🛡️,[':shield:'],Single,STRENGTH
clean produce,❄️,[':snowflake:'],Single,FRESHNESS
entire treatment,😵‍💫,[':face_with_spiral_eyes:'],Single,COMPLETENESS
sensible approach,🤔,[':thinking_face:'],Single,REASONABLENESS
teenage person,👩‍🦳,[':woman_white_hair:'],Single,AGE
thundering applause,🔈,[':speaker_low_volume:'],Single,VOLUME
affectionate embrace,🥰,[':smiling_face_with_hearts:'],Single,EMOTIONALITY
bright background,🖌️,[':paintbrush:'],Single,COLOR
ideal rendition,🙆‍♀️,[':woman_gesturing_OK:'],Single,PERFECTION
concentrated paint,🌫,[':fog:'],Single,THICKNESS
reasonable approach,🤔,[':thinking_face:'],Single,REASONABLENESS
wide side,↔️,[':left-right_arrow:'],Single,DISTANCE
junior sibling,👨‍🦳,[':man_white_hair:'],Single,AGE
plausible judgment,🗣,[':speaking_head:'],Single,REASONABLENESS
familiar land,🤬,[':face_with_symbols_on_mouth:'],Single,COMMONNESS
transparent water,🔍,[':magnifying_glass_tilted_right:'],Single,CLEARNESS
ample resource,💸,[':money_with_wings:'],Single,QUANTITY
featherlight barbell,🤘,[':sign_of_the_horns:'],Single,WEIGHT
ear-splitting thunder,📢,[':loudspeaker:'],Single,VOLUME
upstanding stance,💯,[':hundred_points:'],Single,RIGHTNESS
accurate directive,🆗,[':OK_button:'],Single,CORRECTNESS
normal procedure,🍶,[':sake:'],Single,ORDINARINESS
lead-like burden,🪨,[':rock:'],Single,WEIGHT
glowing room,💡,[':light_bulb:'],Single,LIGHT
vivid presence,🕺,[':man_dancing:'],Single,CONSPICUOUSNESS
refreshing outlook,🍏,[':green_apple:'],Single,FRESHNESS
spotless finish,🌟,[':glowing_star:'],Single,PERFECTION
eye-catching display,🌟,[':glowing_star:'],Single,CONSPICUOUSNESS
bottomless sigh,🤕,[':face_with_head-bandage:'],Single,DEPTH
upper zone,⬇️,[':down_arrow:'],Single,POSITION
sentimental personality,🤍,[':white_heart:'],Single,EMOTIONALITY
welcoming retreat,🛋️,[':couch_and_lamp:'],Single,COMFORT
remote barrier,↔️,[':left-right_arrow:'],Single,DISTANCE
subconscious feeling,🤫,[':shushing_face:'],Single,INWARDNESS
light substance,🛢️,[':oil_drum:'],Single,CONSISTENCY
brief excerpt,💇‍♀️,[':woman_getting_haircut:'],Single,LENGTH
logical advice,🤔,[':thinking_face:'],Single,REASONABLENESS
abundant volume,🪙,[':coin:'],Single,QUANTITY
lucid statement,📖,[':open_book:'],Single,CLARITY
towering mountain,🏔️,[':snow-capped_mountain:'],Single,HEIGHT
secondary pressure,📈,[':chart_increasing:'],Single,DEGREE
pure essence,🧼,[':soap:'],Single,PURITY
luminous illumination,💡,[':light_bulb:'],Single,LIGHT
gigantic balloon,🏚️,[':derelict_house:'],Single,SIZE
dazzling study,🌕,[':full_moon:'],Single,LIGHT
picturesque cottage,🏖️,[':beach_with_umbrella:'],Single,PLEASANTNESS
delicate support,🦾,[':mechanical_arm:'],Single,STRENGTH
limited lifestyle,🔅,[':dim_button:'],Single,MODERATION
delightful life,🌈,[':rainbow:'],Single,PLEASANTNESS
adjacent edge,⬇️,[':down_arrow:'],Single,POSITION
average approach,📄,[':page_facing_up:'],Single,ORDINARINESS
discernible vision,💡,[':light_bulb:'],Single,CLARITY
extended gap,🌐,[':globe_showing_Americas:'],Single,DISTANCE
balmy environment,🔥,[':fire:'],Single,TEMPERATURE
key event,‼️,[':double_exclamation_mark:'],Single,IMPORTANCE
bordering zone,↔️,[':left-right_arrow:'],Single,POSITION
