EN,EM,Description,Composition strategy,Attribute
wrong cheating,🙅‍♂️😈🤫✍️📄📚💯,"[':man_gesturing_NO:', ':smiling_face_with_horns:', ':shushing_face:', ':writing_hand:', ':page_facing_up:', ':books:', ':hundred_points:']",Metaphorical,RIGHTNESS
high forehead,🪜🤦🏻‍♀️,"[':ladder:', ':woman_facepalming_light_skin_tone:']",Metaphorical,HEIGHT
heavy fog,🌫️🤨,"[':fog:', ':face_with_raised_eyebrow:']",Metaphorical,THICKNESS
idyllic spot,😃🕶️🌴,"[':grinning_face_with_big_eyes:', ':sunglasses:', ':palm_tree:']",Metaphorical,PERFECTION
exotic cuisine,😈🥙,"[':smiling_face_with_horns:', ':stuffed_flatbread:']",Metaphorical,FOREIGNNESS
right side,👉🧍,"[':backhand_index_pointing_right:', ':person_standing:']",Metaphorical,POSITION
warm greeting,👋🥰,"[':waving_hand:', ':smiling_face_with_hearts:']",Metaphorical,EMOTIONALITY
common land,▶️🧱,"[':play_button:', ':brick:']",Metaphorical,COMMONALITY
low price,💲🤑🤑,"[':heavy_dollar_sign:', ':money-mouth_face:', ':money-mouth_face:']",Metaphorical,DEGREE
big expenditure,🤑💸,"[':money-mouth_face:', ':money_with_wings:']",Metaphorical,SIZE
cozy nook,🛋🥰,"[':couch_and_lamp:', ':smiling_face_with_hearts:']",Metaphorical,COMFORT
idyllic spot,👍🙆🙆‍♀️💯,"[':thumbs_up:', ':person_gesturing_OK:', ':woman_gesturing_OK:', ':hundred_points:']",Metaphorical,PERFECTION
common knowledge,🥸👫🤲,"[':disguised_face:', ':woman_and_man_holding_hands:', ':palms_up_together:']",Metaphorical,COMMONNESS
average size,🤨🤲,"[':face_with_raised_eyebrow:', ':palms_up_together:']",Metaphorical,MODERATION
cool breeze,❄️🌬️💨,"[':snowflake:', ':wind_face:', ':dashing_away:']",Metaphorical,TEMPERATURE
heavy fog,🌫️💨,"[':fog:', ':dashing_away:']",Metaphorical,THICKNESS
big tipper,👍💸,"[':thumbs_up:', ':money_with_wings:']",Metaphorical,GENEROSITY
delicate negotiation,🤝🕊️☮️,"[':handshake:', ':dove:', ':peace_symbol:']",Metaphorical,DIFFICULTY
intelligent life,🤖🐾,"[':robot:', ':paw_prints:']",Metaphorical,INTELLIGENCE
wrong way,❌↗️🗺️,"[':cross_mark:', ':up-right_arrow:', ':world_map:']",Metaphorical,PROPRIETY
hot merchandise,🔥👀✋🤚🙏🥺💰,"[':fire:', ':eyes:', ':raised_hand:', ':raised_back_of_hand:', ':folded_hands:', ':pleading_face:', ':money_bag:']",Metaphorical,LEGALITY
delicate flavor,💞🍜,"[':revolving_hearts:', ':steaming_bowl:']",Metaphorical,STRENGTH
cozy nook,😴🛋️,"[':sleeping_face:', ':couch_and_lamp:']",Metaphorical,COMFORT
dark shadow,🕶️🕴️,"[':sunglasses:', ':person_in_suit_levitating:']",Metaphorical,LIGHT
deep sleep,😪🤤😴😵,"[':sleepy_face:', ':drooling_face:', ':sleeping_face:', ':face_with_crossed-out_eyes:']",Metaphorical,DEPTH
dry greeting,👋🙄,"[':waving_hand:', ':face_with_rolling_eyes:']",Metaphorical,EMOTIONALITY
deep voice,🐻🎤,"[':bear:', ':microphone:']",Metaphorical,PITCH
dirty money,😈💵💵🚫👉👮,"[':smiling_face_with_horns:', ':dollar_banknote:', ':dollar_banknote:', ':prohibited:', ':backhand_index_pointing_right:', ':police_officer:']",Metaphorical,LEGALITY
big city,🌆🤯,"[':cityscape_at_dusk:', ':exploding_head:']",Metaphorical,SIZE
right decision,🤔✅,"[':thinking_face:', ':check_mark_button:']",Metaphorical,CORRECTNESS
clear complexion,👩✨,"[':woman:', ':sparkles:']",Metaphorical,PERFECTION
full auditorium,🎟️🎟️🎭,"[':admission_tickets:', ':admission_tickets:', ':performing_arts:']",Metaphorical,FULLNESS
fresh bread,👨‍🍳⌛🍞,"[':man_cook:', ':hourglass_done:', ':bread:']",Metaphorical,FRESHNESS
ineffectual therapy,🧑👂❌❌,"[':person:', ':ear:', ':cross_mark:', ':cross_mark:']",Metaphorical,UTILITY
dark corner,😨👹,"[':fearful_face:', ':ogre:']",Metaphorical,LIGHT
warm personality,👊🧑‍🤝‍🧑,"[':oncoming_fist:', ':people_holding_hands:']",Metaphorical,EMOTIONALITY
fresh lettuce,🧑‍🌾 🥬🥬,"[':farmer:', ':leafy_green:', ':leafy_green:']",Metaphorical,FRESHNESS
low bow,🎀👇,"[':ribbon:', ':backhand_index_pointing_down:']",Metaphorical,HEIGHT
dark shadow,🌑👤,"[':new_moon:', ':bust_in_silhouette:']",Metaphorical,LIGHT
deep sleep,😴🛌💤💤,"[':sleeping_face:', ':person_in_bed:', ':zzz:', ':zzz:']",Metaphorical,DEPTH
high price,💸🤑🏦,"[':money_with_wings:', ':money-mouth_face:', ':bank:']",Metaphorical,DEGREE
heavy fog,😓😶‍🌫️,"[':downcast_face_with_sweat:', ':face_in_clouds:']",Metaphorical,THICKNESS
fresh bread,🧑‍🍳🍞,"[':cook:', ':bread:']",Metaphorical,FRESHNESS
dirty fighter,👿👊🥊🤼,"[':angry_face_with_horns:', ':oncoming_fist:', ':boxing_glove:', ':people_wrestling:']",Metaphorical,FAIRNESS
puzzling statement,😵‍💫🤨❓,"[':face_with_spiral_eyes:', ':face_with_raised_eyebrow:', ':red_question_mark:']",Metaphorical,CLARITY
low supply,↘️👎🙁😦,"[':down-right_arrow:', ':thumbs_down:', ':slightly_frowning_face:', ':frowning_face_with_open_mouth:']",Metaphorical,QUANTITY
dull day,👎🕦,"[':thumbs_down:', ':eleven-thirty:']",Metaphorical,DULLNESS
critical mass,⚖️👩‍⚖️👨‍⚖️,"[':balance_scale:', ':woman_judge:', ':man_judge:']",Metaphorical,CRITICALITY
cool breeze,❄️💨,"[':snowflake:', ':dashing_away:']",Metaphorical,TEMPERATURE
big tipper,🤑👨‍🦰💰,"[':money-mouth_face:', ':man_red_hair:', ':money_bag:']",Metaphorical,GENEROSITY
common parlance,👏👦🧑‍🦱,"[':clapping_hands:', ':boy:', ':person_curly_hair:']",Metaphorical,FORMALITY
short money,🤷💸💸💸,"[':person_shrugging:', ':money_with_wings:', ':money_with_wings:', ':money_with_wings:']",Metaphorical,QUANTITY
critical element,🗝️⚠️⚠️,"[':old_key:', ':warning:', ':warning:']",Metaphorical,DISPENSABILITY
ample food,🍔🌭🌮😊,"[':hamburger:', ':hot_dog:', ':taco:', ':smiling_face_with_smiling_eyes:']",Metaphorical,QUANTITY
low supply,⬇️0️⃣,"[':down_arrow:', ':keycap_0:']",Metaphorical,QUANTITY
critical shortage,❌❓⚠️⚠️,"[':cross_mark:', ':red_question_mark:', ':warning:', ':warning:']",Metaphorical,CRISIS
low supply,↘️📉,"[':down-right_arrow:', ':chart_decreasing:']",Metaphorical,QUANTITY
heavy load,💥🏋,"[':collision:', ':person_lifting_weights:']",Metaphorical,WEIGHT
high temperature,🤒🥴🥵,"[':face_with_thermometer:', ':woozy_face:', ':hot_face:']",Metaphorical,DEGREE
cool room,🥶🧤🧣🌬️🧥🏠,"[':cold_face:', ':gloves:', ':scarf:', ':wind_face:', ':coat:', ':house:']",Metaphorical,TEMPERATURE
fresh bread,🎛️⏰🍞♨️,"[':control_knobs:', ':alarm_clock:', ':bread:', ':hot_springs:']",Metaphorical,FRESHNESS
critical shortage,❌🍱 ❌ 🍼,"[':cross_mark:', ':bento_box:', ':cross_mark:', ':baby_bottle:']",Metaphorical,CRISIS
right decision,🤔💭💡📈,"[':thinking_face:', ':thought_balloon:', ':light_bulb:', ':chart_increasing:']",Metaphorical,CORRECTNESS
little man,💪👦,"[':flexed_biceps:', ':boy:']",Metaphorical,STATURE
short life,👨‍👩‍👧‍👧👉💀👨‍👩‍👧,"[':family_man_woman_girl_girl:', ':backhand_index_pointing_right:', ':skull:', ':family_man_woman_girl:']",Metaphorical,DURATION
remarkable sight,🤩🤯🎆,"[':star-struck:', ':exploding_head:', ':fireworks:']",Metaphorical,ORDINARINESS
high mountain,🪜🏔,"[':ladder:', ':snow-capped_mountain:']",Metaphorical,HEIGHT
dark day,⛈️🌫️🌑,"[':cloud_with_lightning_and_rain:', ':fog:', ':new_moon:']",Metaphorical,LIGHT
effective step,👍🪜,"[':thumbs_up:', ':ladder:']",Metaphorical,EFFECTIVENESS
dark purpose,⚫😈,"[':black_circle:', ':smiling_face_with_horns:']",Metaphorical,EVIL
foreign city,🌏🏙,"[':globe_showing_Asia-Australia:', ':cityscape:']",Metaphorical,UNFAMILIARITY
low reservoir,🌛↘️,"[':first_quarter_moon_face:', ':down-right_arrow:']",Metaphorical,DEGREE
far side,😪👉,"[':sleepy_face:', ':backhand_index_pointing_right:']",Metaphorical,DISTANCE
delicate flavor,😈😝,"[':smiling_face_with_horns:', ':squinting_face_with_tongue:']",Metaphorical,STRENGTH
critical mass,🚨🏋️‍♀️,"[':police_car_light:', ':woman_lifting_weights:']",Metaphorical,CRITICALITY
clear glass,🥃✨,"[':tumbler_glass:', ':sparkles:']",Metaphorical,CLEARNESS
full game,🎮👬👬,"[':video_game:', ':men_holding_hands:', ':men_holding_hands:']",Metaphorical,COMPLETENESS
dirty foot,🧼🦶,"[':soap:', ':foot:']",Metaphorical,CLEANNESS
unclear action,❓🤨,"[':red_question_mark:', ':face_with_raised_eyebrow:']",Metaphorical,CLARITY
thick soup,🥫🍦,"[':canned_food:', ':soft_ice_cream:']",Metaphorical,CONSISTENCY
full attention,🙋‍♂️🦻🏫,"[':man_raising_hand:', ':ear_with_hearing_aid:', ':school:']",Metaphorical,INTEGRITY
inadequate training,🔻🙋🏻‍♀️🏣,"[':red_triangle_pointed_down:', ':woman_raising_hand_light_skin_tone:', ':Japanese_post_office:']",Metaphorical,ADEQUACY
internal organ,🧠👨‍⚕️🩺,"[':brain:', ':man_health_worker:', ':stethoscope:']",Metaphorical,POSITION
thick fog,💨👁️🌫️,"[':dashing_away:', ':eye:', ':fog:']",Metaphorical,THICKNESS
big business,🏢🏢🏢📊🌍,"[':office_building:', ':office_building:', ':office_building:', ':bar_chart:', ':globe_showing_Europe-Africa:']",Metaphorical,SIZE
short flight,🛫🤏⌛🛬,"[':airplane_departure:', ':pinching_hand:', ':hourglass_done:', ':airplane_arrival:']",Metaphorical,DURATION
far journey,🛤🚢🗺,"[':railway_track:', ':ship:', ':world_map:']",Metaphorical,DISTANCE
dry critique,🙎‍♂️🗣️💬,"[':man_pouting:', ':speaking_head:', ':speech_balloon:']",Metaphorical,EMOTIONALITY
common sailor,🧑‍✈️🚤,"[':pilot:', ':speedboat:']",Metaphorical,COMMONNESS
ample waistline,🤰📈,"[':pregnant_woman:', ':chart_increasing:']",Metaphorical,SIZE
internal sense,👉👀👈,"[':backhand_index_pointing_right:', ':eyes:', ':backhand_index_pointing_left:']",Metaphorical,INWARDNESS
high risk,🗻☠️☣️,"[':mount_fuji:', ':skull_and_crossbones:', ':biohazard:']",Metaphorical,DEGREE
wrong way,❌↗️↖️❎,"[':cross_mark:', ':up-right_arrow:', ':up-left_arrow:', ':cross_mark_button:']",Metaphorical,PROPRIETY
high building,🪜🏢,"[':ladder:', ':office_building:']",Metaphorical,HEIGHT
critical shortage,🤏🍞,"[':pinching_hand:', ':bread:']",Metaphorical,CRISIS
foreign nation,✈️🗺️,"[':airplane:', ':world_map:']",Metaphorical,FOREIGNNESS
deep voice,🤔🗣,"[':thinking_face:', ':speaking_head:']",Metaphorical,PITCH
critical temperature,♨️🤕,"[':hot_springs:', ':face_with_head-bandage:']",Metaphorical,CRITICALITY
ineffectual ruler,🏰👑👎👎👎👬👭😡,"[':castle:', ':crown:', ':thumbs_down:', ':thumbs_down:', ':thumbs_down:', ':men_holding_hands:', ':women_holding_hands:', ':pouting_face:']",Metaphorical,POTENCY
hot merchandise,🗨️👕,"[':left_speech_bubble:', ':t-shirt:']",Metaphorical,LEGALITY
dark purpose,🌑😵💀,"[':new_moon:', ':face_with_crossed-out_eyes:', ':skull:']",Metaphorical,EVIL
dry climate,🌵🌡,"[':cactus:', ':thermometer:']",Metaphorical,WETNESS
dark undercurrent,😈📈,"[':smiling_face_with_horns:', ':chart_increasing:']",Metaphorical,EVIL
big expenditure,🤑💸,"[':money-mouth_face:', ':money_with_wings:']",Metaphorical,SIZE
fresh scent,🌬👃👌😌,"[':wind_face:', ':nose:', ':OK_hand:', ':relieved_face:']",Metaphorical,FRESHNESS
delicate flavor,👅 🤔,"[':tongue:', ':thinking_face:']",Metaphorical,STRENGTH
high hope,⬆️😇🤞,"[':up_arrow:', ':smiling_face_with_halo:', ':crossed_fingers:']",Metaphorical,DEGREE
deep emotion,😭🌊,"[':loudly_crying_face:', ':water_wave:']",Metaphorical,DEPTH
warm body,🎥💁‍♀️❤️🧟‍♂️,"[':movie_camera:', ':woman_tipping_hand:', ':red_heart:', ':man_zombie:']",Metaphorical,TEMPERATURE
right answer,🤔❓📝💡✏️✔️,"[':thinking_face:', ':red_question_mark:', ':memo:', ':light_bulb:', ':pencil:', ':check_mark:']",Metaphorical,CORRECTNESS
critical illness,🤕🧑‍⚕️💊😷🦠🪦,"[':face_with_head-bandage:', ':health_worker:', ':pill:', ':face_with_medical_mask:', ':microbe:', ':headstone:']",Metaphorical,CRISIS
clear air,⛰️🌬️,"[':mountain:', ':wind_face:']",Metaphorical,CLEARNESS
right side,👤👉,"[':bust_in_silhouette:', ':backhand_index_pointing_right:']",Metaphorical,POSITION
big city,🌇❗,"[':sunset:', ':red_exclamation_mark:']",Metaphorical,SIZE
delicate negotiation,🗣️😃,"[':speaking_head:', ':grinning_face_with_big_eyes:']",Metaphorical,DIFFICULTY
immediate influence,💨💨🧍‍♂️🔀🧍‍♀️,"[':dashing_away:', ':dashing_away:', ':man_standing:', ':shuffle_tracks_button:', ':woman_standing:']",Metaphorical,IMMEDIACY
delicate flavor,⚠️📦😋,"[':warning:', ':package:', ':face_savoring_food:']",Metaphorical,STRENGTH
common brand,▶️🛒👛,"[':play_button:', ':shopping_cart:', ':purse:']",Metaphorical,COMMONNESS
domestic chore,🏠😭🧹🗑️🧽🍽️🍽️,"[':house:', ':loudly_crying_face:', ':broom:', ':wastebasket:', ':sponge:', ':fork_and_knife_with_plate:', ':fork_and_knife_with_plate:']",Metaphorical,DOMESTICITY
cozy nook,😊🛏️,"[':smiling_face_with_smiling_eyes:', ':bed:']",Metaphorical,COMFORT
dirty job,🪠🚽🧹,"[':plunger:', ':toilet:', ':broom:']",Metaphorical,CLEANNESS
ample food,👐😋,"[':open_hands:', ':face_savoring_food:']",Metaphorical,QUANTITY
critical element,🔥💧❄️⚡🐉,"[':fire:', ':droplet:', ':snowflake:', ':high_voltage:', ':dragon:']",Metaphorical,DISPENSABILITY
common nuisance,👥🪰🪳🕷️👥,"[':busts_in_silhouette:', ':fly:', ':cockroach:', ':spider:', ':busts_in_silhouette:']",Metaphorical,COMMONNESS
big expenditure,👨‍💻💸,"[':man_technologist:', ':money_with_wings:']",Metaphorical,SIZE
heavy metal,⚖️⚙️,"[':balance_scale:', ':gear:']",Metaphorical,WEIGHT
internal sense,🧬☮️,"[':dna:', ':peace_symbol:']",Metaphorical,INWARDNESS
thick smoke,💨👁️❌,"[':dashing_away:', ':eye:', ':cross_mark:']",Metaphorical,THICKNESS
fresh air,💨👃🚭,"[':dashing_away:', ':nose:', ':no_smoking:']",Metaphorical,PURITY
cozy room,😴🛋️,"[':sleeping_face:', ':couch_and_lamp:']",Metaphorical,FRIENDLINESS
right answer,🙋‍♀️👍✅,"[':woman_raising_hand:', ':thumbs_up:', ':check_mark_button:']",Metaphorical,CORRECTNESS
common sailor,▶️⛵,"[':play_button:', ':sailboat:']",Metaphorical,COMMONNESS
wrong assumption,🤔🤦,"[':thinking_face:', ':person_facepalming:']",Metaphorical,CORRECTNESS
cool relation,🤜🤛🤝,"[':right-facing_fist:', ':left-facing_fist:', ':handshake:']",Metaphorical,EMOTIONALITY
internal sense,🤓🧠,"[':nerd_face:', ':brain:']",Metaphorical,INWARDNESS
constant lover,❤️🧓👵,"[':red_heart:', ':older_person:', ':old_woman:']",Metaphorical,CONSTANCY
dull sky,🌥️🌧️🪟,"[':sun_behind_large_cloud:', ':cloud_with_rain:', ':window:']",Metaphorical,LUMINOSITY
common nuisance,😝😝🔄,"[':squinting_face_with_tongue:', ':squinting_face_with_tongue:', ':counterclockwise_arrows_button:']",Metaphorical,COMMONNESS
full glass,🚰🥛,"[':potable_water:', ':glass_of_milk:']",Metaphorical,FULLNESS
dirty work,🚽👷🛠️,"[':toilet:', ':construction_worker:', ':hammer_and_wrench:']",Metaphorical,CLEANNESS
dark purpose,🌑😈👹,"[':new_moon:', ':smiling_face_with_horns:', ':ogre:']",Metaphorical,EVIL
right thing,😀👍,"[':grinning_face:', ':thumbs_up:']",Metaphorical,RIGHTNESS
intelligent solution,💡✅,"[':light_bulb:', ':check_mark_button:']",Metaphorical,REASONABLENESS
dark corner,🌑❌💡,"[':new_moon:', ':cross_mark:', ':light_bulb:']",Metaphorical,LIGHT
big voice,🎙🗣,"[':studio_microphone:', ':speaking_head:']",Metaphorical,VOLUME
common brand,👥🧳👛💼🎒👜👥,"[':busts_in_silhouette:', ':luggage:', ':purse:', ':briefcase:', ':backpack:', ':handbag:', ':busts_in_silhouette:']",Metaphorical,COMMONNESS
exotic cuisine,🤔🧑‍🍳🌮,"[':thinking_face:', ':cook:', ':taco:']",Metaphorical,FOREIGNNESS
right thing,✔️👍,"[':check_mark:', ':thumbs_up:']",Metaphorical,RIGHTNESS
dry paint,☀️🎨,"[':sun:', ':artist_palette:']",Metaphorical,WETNESS
far side,↙️🛣️,"[':down-left_arrow:', ':motorway:']",Metaphorical,DISTANCE
high mountain,🏔️😲,"[':snow-capped_mountain:', ':astonished_face:']",Metaphorical,HEIGHT
cool reception,😐👋,"[':neutral_face:', ':waving_hand:']",Metaphorical,EMOTIONALITY
big day,😰☀️,"[':anxious_face_with_sweat:', ':sun:']",Metaphorical,IMPORTANCE
big business,👔📈,"[':necktie:', ':chart_increasing:']",Metaphorical,SIZE
sound explanation,🙋🧏‍♀️👍,"[':person_raising_hand:', ':deaf_woman:', ':thumbs_up:']",Metaphorical,REASONABLENESS
heavy fog,🌫️😶‍🌫,"[':fog:', ':face_in_clouds:']",Metaphorical,THICKNESS
clear water,💧💧✨,"[':droplet:', ':droplet:', ':sparkles:']",Metaphorical,CLEARNESS
delicate wing,⚠️📦🐣,"[':warning:', ':package:', ':hatching_chick:']",Metaphorical,STRENGTH
internal mechanism,😷🦠💊⚔️,"[':face_with_medical_mask:', ':microbe:', ':pill:', ':crossed_swords:']",Metaphorical,POSITION
low supply,😱🛍️🛒,"[':face_screaming_in_fear:', ':shopping_bags:', ':shopping_cart:']",Metaphorical,QUANTITY
big man,💪🧍‍♂️,"[':flexed_biceps:', ':man_standing:']",Metaphorical,CONSPICUOUSNESS
fresh lettuce,😋🥬,"[':face_savoring_food:', ':leafy_green:']",Metaphorical,FRESHNESS
far side,🧍🌎🧍,"[':person_standing:', ':globe_showing_Americas:', ':person_standing:']",Metaphorical,DISTANCE
right thing,➡️💯,"[':right_arrow:', ':hundred_points:']",Metaphorical,RIGHTNESS
common sailor,🚤👦,"[':speedboat:', ':boy:']",Metaphorical,COMMONNESS
dull sky,🌑🌃,"[':new_moon:', ':night_with_stars:']",Metaphorical,LUMINOSITY
cozy nook,😌☺️☀️🌄,"[':relieved_face:', ':smiling_face:', ':sun:', ':sunrise_over_mountains:']",Metaphorical,COMFORT
big man,🧍‍♂️💪,"[':man_standing:', ':flexed_biceps:']",Metaphorical,CONSPICUOUSNESS
thick fog,✈️🙈,"[':airplane:', ':see-no-evil_monkey:']",Metaphorical,THICKNESS
warm debate,💥🧠,"[':collision:', ':brain:']",Metaphorical,LIVELINESS
dirty dish,🧼🍽️,"[':soap:', ':fork_and_knife_with_plate:']",Metaphorical,CLEANNESS
immediate influence,💃🕺🙋🙋‍♀️🙋‍♂️,"[':woman_dancing:', ':man_dancing:', ':person_raising_hand:', ':woman_raising_hand:', ':man_raising_hand:']",Metaphorical,IMMEDIACY
immediate influence,⏩👩‍⚖️👨‍⚖️,"[':fast-forward_button:', ':woman_judge:', ':man_judge:']",Metaphorical,IMMEDIACY
fresh bread,😀🍞,"[':grinning_face:', ':bread:']",Metaphorical,FRESHNESS
deep voice,🗣️ 🧏‍♂️,"[':speaking_head:', ':deaf_man:']",Metaphorical,PITCH
delicate negotiation,🙋🧏‍♂️🙎‍♂️🙋‍♂️🧏🙎,"[':person_raising_hand:', ':deaf_man:', ':man_pouting:', ':man_raising_hand:', ':deaf_person:', ':person_pouting:']",Metaphorical,DIFFICULTY
cool drink,🧊🍾,"[':ice:', ':bottle_with_popping_cork:']",Metaphorical,TEMPERATURE
clear case,🕵🔬🔪🩸💡,"[':detective:', ':microscope:', ':kitchen_knife:', ':drop_of_blood:', ':light_bulb:']",Metaphorical,CLARITY
cool drink,🧊🍹🍺,"[':ice:', ':tropical_drink:', ':beer_mug:']",Metaphorical,TEMPERATURE
common procedure,▶️🪜,"[':play_button:', ':ladder:']",Metaphorical,COMMONNESS
bright future,🌟🎓,"[':glowing_star:', ':graduation_cap:']",Metaphorical,AUSPICIOUSNESS
cool drink,🧊🥃,"[':ice:', ':tumbler_glass:']",Metaphorical,TEMPERATURE
hot forehead,"☀️, 🤒🌡️😷😴🥶","[':sun:', ',', ':face_with_thermometer:', ':thermometer:', ':face_with_medical_mask:', ':sleeping_face:', ':cold_face:']",Metaphorical,TEMPERATURE
short holiday,🥲🤏✈️⛩️,"[':smiling_face_with_tear:', ':pinching_hand:', ':airplane:', ':shinto_shrine:']",Metaphorical,DURATION
critical stage,✔️👍❌☠️,"[':check_mark:', ':thumbs_up:', ':cross_mark:', ':skull_and_crossbones:']",Metaphorical,CRISIS
high temperature,🌡️🤒,"[':thermometer:', ':face_with_thermometer:']",Metaphorical,DEGREE
short life,⏳🫀💓,"[':hourglass_not_done:', ':anatomical_heart:', ':beating_heart:']",Metaphorical,DURATION
critical shortage,❗🥑🍎🧀🍚❗😥,"[':red_exclamation_mark:', ':avocado:', ':red_apple:', ':cheese_wedge:', ':cooked_rice:', ':red_exclamation_mark:', ':sad_but_relieved_face:']",Metaphorical,CRISIS
